year,price,mileage,tax,mpg,engineSize,car_age,mileage_per_year,fuel_efficiency_per_engine_size,model_ I20,model_ Tucson,model_ I10,model_ IX35,model_ I30,model_ I40,model_ Ioniq,model_ Kona,model_ Veloster,model_ I800,model_ IX20,model_ Santa Fe,model_ Accent,model_ Terracan,model_ Getz,model_ Amica,transmission_Manual,transmission_Automatic,transmission_Semi-Auto,transmission_Other,fuelType_Petrol,fuelType_Diesel,fuelType_Hybrid,fuelType_Other
2014,11830,50425,200,46.3,2.2,10,5042.5,21.045454545454543,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
2019,15998,9488,145,34.9,1.6,5,1897.6,21.812499999999996,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2018,13698,11118,145,44.1,1.0,6,1853.0,44.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2018,13698,11139,145,44.1,1.0,6,1856.5,44.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2016,11798,48233,30,61.7,1.7,8,6029.125,36.294117647058826,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2018,11298,17402,145,56.5,1.0,6,2900.3333333333335,56.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2016,9498,24109,145,48.7,1.4,8,3013.625,34.78571428571429,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2018,9998,12130,145,57.7,1.0,6,2021.6666666666667,57.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2018,11498,11122,145,74.3,1.6,6,1853.6666666666667,46.43749999999999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2018,11498,14875,145,56.5,1.0,6,2479.1666666666665,56.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2019,15498,14461,150,34.9,1.6,5,2892.2,21.812499999999996,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2017,7998,5733,20,60.1,1.0,7,819.0,60.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2017,14298,45726,150,61.7,1.7,7,6532.285714285715,36.294117647058826,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2016,7998,41429,0,78.4,1.6,8,5178.625,49.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2017,13998,15908,145,61.7,1.7,7,2272.5714285714284,36.294117647058826,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
